last_update_time,country_name,total_case,new_case,total_deaths,new_deaths,total_recovered,active_cases,critical_cases,total_case_per_million,total_death_per_million,total_tests,total_tests_per_million
December 20, 2021, 10:16 GMT,Lebanon,700943,,8936,,647268,44739,186,103374,1318,4795578,707243
December 20, 2021, 10:16 GMT,Belarus,684628,,5385,,676388,2855,,72488,570,10821178,1145732
December 20, 2021, 10:16 GMT,Croatia,675363,,11981,,640776,22606,269,166011,2945,3645554,896115
December 20, 2021, 10:16 GMT,Ireland,656600,,5835,,,137776,107,130835,1163,9313992,1855925
December 20, 2021, 10:16 GMT,Guatemala,623662,,16067,,606853,742,5,33894,873,3219293,174959
December 20, 2021, 10:16 GMT,Denmark,617274,,3076,,,108163,63,106023,528,101832420,17490746
December 20, 2021, 10:16 GMT,Azerbaijan,610318,,8199,,586666,15453,,59410,798,5750604,559780
December 20, 2021, 10:16 GMT,Sri Lanka,579685,,14752,,547182,17751,,26906,685,5726599,265800
December 20, 2021, 10:16 GMT,S. Korea,570417,5319,4776,54,456126,109515,997,11112,93,15804065,307869
December 20, 2021, 10:16 GMT,Costa Rica,568538,,7340,,559654,1544,50,110135,1422,2881944,558277
December 20, 2021, 10:16 GMT,Bolivia,564747,889,19440,12,511260,34047,220,47434,1633,2615853,219708
December 20, 2021, 10:16 GMT,Saudi Arabia,550842,,8862,,540079,1901,33,15470,249,32362387,908875
December 20, 2021, 10:16 GMT,Ecuador,536129,,33593,,443880,58656,759,29727,1863,2094849,116154
December 20, 2021, 10:16 GMT,Myanmar,528253,,19220,,505395,3638,,9614,350,5897870,107344
December 20, 2021, 10:16 GMT,Lithuania,502969,609,7143,19,468115,27711,104,188616,2679,6462129,2423336
December 20, 2021, 10:16 GMT,Panama,483386,,7398,,471894,4094,16,109509,1676,4366173,989134
December 20, 2021, 10:16 GMT,Paraguay,464280,,16535,,447035,710,56,63944,2277,1999692,275411
December 20, 2021, 10:16 GMT,Slovenia,449149,585,5506,10,425374,18269,215,216004,2648,2026862,974754
December 20, 2021, 10:16 GMT,Venezuela,441562,,5285,,429949,6328,681,15593,187,3359014,118618
December 20, 2021, 10:16 GMT,Palestine,436313,,4602,,427852,3859,55,82717,872,2807364,532225
December 20, 2021, 10:16 GMT,Kuwait,414098,,2466,,411093,539,4,94912,565,5716243,1310169
December 20, 2021, 10:16 GMT,Dominican Republic,411721,,4223,,406041,1457,94,37405,384,2529418,229798
December 20, 2021, 10:16 GMT,Uruguay,404460,,6155,,395525,2780,20,115846,1763,4276655,1224925
December 20, 2021, 10:16 GMT,Mongolia,387116,125,2045,2,313256,71815,192,115367,609,4030048,1201019
December 20, 2021, 10:16 GMT,Libya,382341,592,5607,9,370567,6167,,54558,800,1982408,282877
December 20, 2021, 10:16 GMT,Honduras,378804,,10428,,123618,244758,38,37376,1029,1132491,111740
December 20, 2021, 10:16 GMT,Ethiopia,376375,,6866,,350873,18636,150,3159,58,3975485,33372
